alg time sample
duplicateElementsHashSet 523562 18255
duplicateElementsTwoFor 170930104 18255
duplicateElementsHashSet 394 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 130766 7635
duplicateElementsTwoFor 41375152 7635
duplicateElementsHashSet 61 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 893675 31505
duplicateElementsTwoFor 645014514 31505
duplicateElementsHashSet 55 1
duplicateElementsTwoFor 48 1
duplicateElementsHashSet 146336 10695
duplicateElementsTwoFor 79034864 10695
duplicateElementsHashSet 55 1
duplicateElementsTwoFor 48 1
duplicateElementsHashSet 158400 11673
duplicateElementsTwoFor 87693277 11673
duplicateElementsHashSet 61 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 569463 22679
duplicateElementsTwoFor 308595188 22679
duplicateElementsHashSet 64 1
duplicateElementsTwoFor 56 1
duplicateElementsHashSet 978808 31170
duplicateElementsTwoFor 664304964 31170
duplicateElementsHashSet 69 1
duplicateElementsTwoFor 61 1
duplicateElementsHashSet 91063 3534
duplicateElementsTwoFor 8617947 3534
duplicateElementsHashSet 59 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 240599 9674
duplicateElementsTwoFor 74019518 9674
duplicateElementsHashSet 61 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 635748 29116
duplicateElementsTwoFor 588338391 29116
duplicateElementsHashSet 60 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 2342 268
duplicateElementsTwoFor 50902 268
duplicateElementsHashSet 61 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 322548 19406
duplicateElementsTwoFor 238075246 19406
duplicateElementsHashSet 59 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 372873 23330
duplicateElementsTwoFor 360696786 23330
duplicateElementsHashSet 64 1
duplicateElementsTwoFor 57 1
duplicateElementsHashSet 168529 9359
duplicateElementsTwoFor 74992125 9359
duplicateElementsHashSet 63 1
duplicateElementsTwoFor 55 1
duplicateElementsHashSet 319793 18045
duplicateElementsTwoFor 204672154 18045
duplicateElementsHashSet 61 1
duplicateElementsTwoFor 52 1
duplicateElementsHashSet 294561 12527
duplicateElementsTwoFor 110913548 12527
duplicateElementsHashSet 71 1
duplicateElementsTwoFor 62 1
duplicateElementsHashSet 64433 4551
duplicateElementsTwoFor 14942017 4551
duplicateElementsHashSet 71 1
duplicateElementsTwoFor 62 1
duplicateElementsHashSet 57773 4554
duplicateElementsTwoFor 14825623 4554
duplicateElementsHashSet 72 1
duplicateElementsTwoFor 62 1
duplicateElementsHashSet 586346 26813
duplicateElementsTwoFor 475113655 26813
duplicateElementsHashSet 61 1
duplicateElementsTwoFor 52 1
duplicateElementsHashSet 255794 12508
duplicateElementsTwoFor 105485468 12508
duplicateElementsHashSet 60 1
duplicateElementsTwoFor 53 1
duplicateElementsHashSet 62915 5468
duplicateElementsTwoFor 21629398 5468
duplicateElementsHashSet 59 1
duplicateElementsTwoFor 52 1
duplicateElementsHashSet 133457 9106
duplicateElementsTwoFor 64610815 9106
duplicateElementsHashSet 59 1
duplicateElementsTwoFor 51 1
duplicateElementsHashSet 663373 32617
duplicateElementsTwoFor 762692117 32617
duplicateElementsHashSet 62 1
duplicateElementsTwoFor 54 1
duplicateElementsHashSet 62303 5310
duplicateElementsTwoFor 21238992 5310
duplicateElementsHashSet 62 1
duplicateElementsTwoFor 54 1
duplicateElementsHashSet 586443 26485
duplicateElementsTwoFor 476837761 26485
duplicateElementsHashSet 61 1
duplicateElementsTwoFor 54 1
duplicateElementsHashSet 1492 131
duplicateElementsTwoFor 15182 131
duplicateElementsHashSet 61 1
duplicateElementsTwoFor 54 1
duplicateElementsHashSet 164317 12010
duplicateElementsTwoFor 102384175 12010
duplicateElementsHashSet 62 1
duplicateElementsTwoFor 54 1
duplicateElementsHashSet 368173 24532
