alg time sample
duplicateElementsHashSet 113169 6992
duplicateElementsHashSet 116135 7177
duplicateElementsHashSet 116903 6853
duplicateElementsHashSet 118661 6347
duplicateElementsHashSet 119063 8354
duplicateElementsHashSet 121248 7870
duplicateElementsHashSet 122768 8041
duplicateElementsHashSet 128609 7756
duplicateElementsHashSet 128645 8760
duplicateElementsHashSet 129425 7747
duplicateElementsHashSet 133829 9645
duplicateElementsHashSet 134490 9828
duplicateElementsHashSet 140682 10587
duplicateElementsHashSet 145711 11216
duplicateElementsHashSet 147582 9873
duplicateElementsHashSet 147912 10996
duplicateElementsHashSet 150108 10969
duplicateElementsHashSet 154209 11473
duplicateElementsHashSet 158666 10680
duplicateElementsHashSet 163029 12195
duplicateElementsHashSet 164410 11927
duplicateElementsHashSet 166252 12098
duplicateElementsHashSet 167270 12018
duplicateElementsHashSet 19612 1578
duplicateElementsHashSet 199868 12283
duplicateElementsHashSet 21174 1676
duplicateElementsHashSet 23239 2340
duplicateElementsHashSet 257697 12752
duplicateElementsHashSet 260391 12518
duplicateElementsHashSet 275888 14548
duplicateElementsHashSet 280956 16317
duplicateElementsHashSet 287303 17382
duplicateElementsHashSet 289310 16775
duplicateElementsHashSet 290287 13201
duplicateElementsHashSet 291303 15708
duplicateElementsHashSet 293074 15942
duplicateElementsHashSet 294662 16467
duplicateElementsHashSet 299259 16128
duplicateElementsHashSet 301204 15919
duplicateElementsHashSet 301649 17026
duplicateElementsHashSet 303957 15191
duplicateElementsHashSet 305536 18012
duplicateElementsHashSet 309223 16367
duplicateElementsHashSet 310580 17155
duplicateElementsHashSet 311002 17454
duplicateElementsHashSet 311765 18793
duplicateElementsHashSet 323603 19775
duplicateElementsHashSet 324207 17876
duplicateElementsHashSet 331777 16729
duplicateElementsHashSet 332395 20160
duplicateElementsHashSet 337075 21169
duplicateElementsHashSet 343079 21934
duplicateElementsHashSet 345228 21822
duplicateElementsHashSet 362276 23292
duplicateElementsHashSet 365508 24380
duplicateElementsHashSet 367707 22771
duplicateElementsHashSet 369056 22126
duplicateElementsHashSet 369726 23312
duplicateElementsHashSet 376962 24412
duplicateElementsHashSet 393820 23899
duplicateElementsHashSet 400562 24496
duplicateElementsHashSet 404507 13776
duplicateElementsHashSet 471108 22505
